0.0473*(Re^0.8)*(Pr^0.6);Utamura (2008);2100/30000/1;0/0/1;Agua;--;0/0/0;--;0/0/0;--;0/0/0;0/0/0;0/0/0;;;
0.24*(Re^0.425)*(Pr^1/3);Kays and London (1984);400/3000/1;0/0/1;--;--;0/0/0;Ondulado;0/0/0;--;0/0/0;0/0/0;0/0/0;;;
0.4*Re;Oyakawa and Shinzato (1989);600/3000/1;0/0/0;--;--;0/0/0;Ondulado;0/0/0;--;0/0/0;0/0/0;0/0/0;;Change expression later;
Re;Oyakawa and Shinzato (1989);10000/100000/1;0/0/0;--;--;0/0/0;Ondulado;0/0/0;--;0/0/0;0/0/0;0/0/0;;Change expression later;
0.1696*(Re^0.629)*(Pr^0.317);Ngo (2007);3500/22000/1;0.75/2.2/1;CO2 Supercritico;Retangular;0/0/0;--;52/52/0;--;0/0/0;0/0/0;0/0/0;;Experimental - Global;
3.255 + 0.00729*Re - 350*0.00729;I. Kim (2009);350/800/1;0.66/0.66/0;Helio;Semicircular;0/0/0;--;15/15/0;--;0/0/0;0/0/0;0/0/0;;Experimental;
0.253*(Re^0.597)*(Pr^0.349);Tsuzuki (2009);100/1500/1;2/11/1;Agua;--;0/0/0;Em forma de S;0/0/0;--;0/0/0;0/0/0;0/0/0;;CFD;
0.207*(Re^0.627)*(Pr^0.340);Tsuzuki (2009);1500/15000/1;1/3/1;CO2;--;0/0/0;Em forma de S;0/0/0;--;0/0/0;0/0/0;0/0/0;;CFD;
0.0228*(Re^0.8);Berbish (2010);8242/57794/1;0/0/0;Ar;Semicircular;0/0/0;Reto;0/0/0;--;0/0/0;0/0/0;0/0/0;;Experimental;
4.089 + 0.00365*Re*(Pr^0.58);I. Kim (2013);1/2500/1;0.66/13.41/1;Helio/Agua/Helio + CO2;Semicircular;0/0/0;--;15/15/0;--;0/0/0;0/0/0;0/0/0;;Experimental - Metodo direto;
4.089 + 0.00497*(Re^0.95)*(Pr^0.55);I. Kim (2013);1/3000/1;0.66/13.41/1;Helio/Agua/Helio + CO2;Semicircular;0/0/0;--;15/15/0;--;0/0/0;0/0/0;0/0/0;;Experimental - Metodo indireto;
0.05516*(Re^0.69195);M. Chen (2016a);1400/2200/1;0/0/0;Helio;Semicircular;0/0/0;--;15/15/0;--;0/0/0;0/0/0;0/0/0;;Experimental;
0.09221*(Re^0.62507);M. Chen (2016a);2200/3558/1;0/0/0;Helio;Semicircular;0/0/0;--;15/15/0;--;0/0/0;0/0/0;0/0/0;;Experimental;
0.01352*(Re^0.80058);M. Chen (2016b);1200/1850/1;0/0/0;Helio;Semicircular;0/0/0;--;15/15/0;--;0/0/0;0/0/0;0/0/0;;Experimental;
0.047516*(Re^0.633151);M. Chen (2016b);1200/1850/1;0/0/0;Helio;Semicircular;0/0/0;--;15/15/0;--;0/0/0;0/0/0;0/0/0;;Experimental - Metodo indireto;
0.0003680123*(Re^1.282182);M. Chen (2016b);1850/2900/1;0/0/0;Helio;Semicircular;0/0/0;--;15/15/0;--;0/0/0;0/0/0;0/0/0;;Experimental - Metodo indireto;
0.0292*(Re^0.8138);S. Kim (2016);2000/58000/1;0.7/1/0;CO2 Supercritico;Semicircular;0/0/0;--;32.5/32.5/0;--;0/0/0;0/0/0;0/0/0;;CFD;
0.0188*(Re^0.8742);S. Kim (2016);2000/55000/1;0.7/1/0;CO2 Supercritico;Semicircular;0/0/0;--;40/40/0;--;0/0/0;0/0/0;0/0/0;;CFD;
0.0493*(Re^0.77)*(Pr^0.55);Meshram (2016a);5000/26000/1;0/0/1;CO2 Supercritico;Semicircular;0/0/0;Reto;0/0/0;--;0/0/0;0/0/0;0/0/0;;;
0.0514*(Re^0.76)*(Pr^0.55);Meshram (2016b);5000/26000/1;0/0/1;CO2 Supercritico;Semicircular;0/0/0;Reto;0/0/0;--;0/0/0;0/0/0;873.15/1003.15/0;;;
0.0685*(Re^0.705)*(D/2^-0.122);Meshram (2016c);8500/20500/1;0/0/0;CO2 Supercritico;Semicircular;1.2/2.6/1;Reto;0/0/0;--;0/0/0;0/0/0;773.15/903.15/0;;Quente;
0.0718*(Re^0.71)*(Pr^0.55);Meshram (2016d);5000/26000/1;0/0/1;CO2 Supercritico;Semicircular;0/0/0;Reto;0/0/0;--;0/0/0;0/0/0;673.15/773.15/0;;Frio;
0.0661*(Re^0.743)*(Pr^0.55);Meshram (2016e);5000/26000/1;0/0/1;CO2 Supercritico;Semicircular;0/0/0;Reto;0/0/0;--;0/0/0;0/0/0;773.15/873.15/0;;Frio;
0.0117*(Re^0.843)*(D/2^0.0405);Meshram (2016f);8500/20500/1;0/0/0;CO2 Supercritico;Semicircular;1.2/2.6/1;Reto;0/0/0;--;0/0/0;0/0/0;673.15/773.15/0;;Frio;
0.0174*(Re^0.893)*(Pr^0.7);Meshram (2016g);5000/32000/1;0/0/1;CO2 Supercritico;Semicircular;0/0/0;Em zigue-zague;0/0/0;--;0/0/0;0/0/0;196.85/356.85/0;;Quente;
0.0205*(Re^0.869)*(Pr^0.7);Meshram (2016h);5000/32000/1;0/0/1;CO2 Supercritico;Semicircular;0/0/0;Em zigue-zague;0/0/0;--;0/0/0;0/0/0;306.85/456.85/0;;Quente;
87.56*(L/12^-0.178)*(A/116^-0.9306);Meshram (2016i);14500/14500/0;0/0/0;CO2 Supercritico;Semicircular;0/0/0;Em zigue-zague;100/120/1;--;8/12/1;0/0/0;196.85/356.85/0;;;
0.0177*(Re^0.871)*(Pr^0.7);Meshram (2016j);5000/32000/1;0/0/1;CO2 Supercritico;Semicircular;0/0/0;Em zigue-zague;0/0/0;--;0/0/0;0/0/0;126.85/246.85/0;;Frio;
0.0213*(Re^0.876)*(Pr^0.7);Meshram (2016k);5000/32000/1;0/0/1;CO2 Supercritico;Semicircular;0/0/0;Em zigue-zague;0/0/0;--;0/0/0;0/0/0;226.85/366.85/0;;Frio;
85.95*(L/12^-0.171)*(A/116^-0.8912);Meshram (2016l);14500/14500/0;0/0/0;CO2 Supercritico;Semicircular;0/0/0;Em zigue-zague;100/120/1;--;8/12/1;0/0/0;126.85/246.85/0;;Frio;
5.05 + 0.02*A*Re*(Pr^0.6) + 0.003*Re*(Pr^0.6);Yoon (2017a);100/550/1;0/0/1;Helio;Semicircular;0/0/0;--;5/15/1;--;0/0/0;0/0/0;0/0/0;;CFD;
0.71*A*(L/D^-0.087)*(Re^-0.11*(A-0.55^2)-0.004*L*A/D + 0.54)*(Pr^0.56) + 0.289*(L/D^-0.087)*(Re^-0.11*(A-0.55^2)-0.004*L*A/D + 0.54)*(Pr^0.56);Yoon (2017b);550/2000/1;0/0/1;Helio;Semicircular;0/0/1;--;15/45/1;--;0/0/1;0/0/0;0/0/0;;Quente;
0.18*A*(L/D^-0.038)*(Re^-0.23*(A-0.74^2)-0.004*L*A/D + 0.56)*(Pr^0.58) + 0.457*(L/D^-0.038)*(Re^-0.23*(A-0.74^2)-0.004*L*A/D + 0.56)*(Pr^0.58);Yoon (2017c);550/2000/1;0/0/1;Helio;Semicircular;0/0/1;--;15/45/1;--;0/0/1;0/0/0;0/0/0;;CFD - Frio;
